year,sex,name,n,prop
1880,M,John,9655,0.08154629684372335
1880,M,George,5126,0.04329428458010625
1880,M,Paul,301,0.002542251201445958
1881,M,John,8769,0.08098298886241481
1881,M,George,4664,0.04307271753384681
1881,M,Paul,291,0.0026874272732310077
1882,M,John,9557,0.07831616556448771
1882,M,George,5193,0.042554760675566045
1882,M,Paul,397,0.0032532717096475485
1883,M,John,8894,0.07907324098934902
1883,M,George,4736,0.042106011842315834
1883,M,Paul,358,0.0031828446451750564
1884,M,John,9388,0.07648750600868509
1884,M,George,4961,0.040419100693341155
1884,M,Paul,422,0.003438189980364839
1885,M,John,8756,0.07551791351146223
1885,M,George,4674,0.04031186931847584
1885,M,Paul,428,0.003691373570455212
1886,M,John,9026,0.07582197879739924
1886,M,George,4671,0.039238252045496545
1886,M,Paul,466,0.003914584768401069
1887,M,John,8110,0.07418926954214884
1887,M,George,4284,0.03918949823903398
1887,M,Paul,449,0.0041073960572657
1888,M,John,9247,0.07118278742157731
1888,M,George,4912,0.037812247411569994
1888,M,Paul,529,0.004072206612524537
1889,M,John,8548,0.07181141522590184
1889,M,George,4430,0.03721625753986256
1889,M,Paul,556,0.0046709343548901995
1890,M,John,8502,0.07102697554740561
1890,M,George,4458,0.03724279663494875
1890,M,Paul,607,0.005070968496503789
1891,M,John,7680,0.07028654580065345
1891,M,George,3931,0.03597609525291259
1891,M,Paul,564,0.005161668207235488
1892,M,John,9039,0.06876221919621461
1892,M,George,4760,0.03621066084456041
1892,M,Paul,747,0.005682639422455174
1893,M,John,8049,0.06649867812293457
1893,M,George,4320,0.0356906807666887
1893,M,Paul,743,0.006138466622604098
1894,M,John,8238,0.0659599340240524
1894,M,George,4365,0.03494963729242397
1894,M,Paul,824,0.006597594760356783
1895,M,John,8320,0.06569596664666309
1895,M,George,4289,0.03386658665234832
1895,M,Paul,933,0.00736710779823758
1896,M,John,8139,0.06305782818891781
1896,M,George,4286,0.033206272468079834
1896,M,Paul,964,0.007468699640510723
1897,M,John,7550,0.061914173015261226
1897,M,George,4078,0.033441853980958315
1897,M,Paul,923,0.007569110158024651
1898,M,John,8159,0.0617614776125052
1898,M,George,4853,0.03673592975284811
1898,M,Paul,991,0.007501608568941372
1899,M,John,6990,0.06067971700160597
1899,M,George,4018,0.03487998611050827
1899,M,Paul,885,0.007682625113937237
1900,M,John,9829,0.06062045146169977
1900,M,George,5403,0.03332305415073394
1900,M,Paul,1288,0.007943752312816086
1901,M,John,6899,0.059682512219386655
1901,M,George,3609,0.031221073575846706
1901,M,Paul,924,0.00799342532116441
1902,M,John,7907,0.05956353720178683
1902,M,George,4223,0.03181191572064573
1902,M,Paul,1067,0.008037725331264265
1903,M,John,7608,0.05882807788070458
1903,M,George,3961,0.030628025300403632
1903,M,Paul,1081,0.008358721370799375
1904,M,John,8108,0.05853813498137292
1904,M,George,4219,0.03046033442111647
1904,M,Paul,1194,0.008620440696566263
1905,M,John,8060,0.05626762726536539
1905,M,George,4256,0.029711541146575076
1905,M,Paul,1262,0.008810142135098155
1906,M,John,8264,0.05736100506698133
1906,M,George,4201,0.02915943638509058
1906,M,Paul,1309,0.009085861039772334
1907,M,John,8983,0.0566436300350594
1907,M,George,4445,0.028028602416324058
1907,M,Paul,1358,0.008563069084672232
1908,M,John,9342,0.05615127545500445
1908,M,George,4584,0.027552713196932175
1908,M,Paul,1478,0.008883706392902651
1909,M,John,9591,0.054226881063844226
1909,M,George,4688,0.02650564262613927
1909,M,Paul,1676,0.00947599339620508
1910,M,John,11450,0.05490974659991176
1910,M,George,5441,0.026092919759835798
1910,M,Paul,2005,0.009615200168805509
1911,M,John,13445,0.05569778617352688
1911,M,George,6586,0.027283422814343476
1911,M,Paul,2393,0.009913335984622523
1912,M,John,24587,0.05446156436064644
1912,M,George,11734,0.02599145874681032
1912,M,Paul,4785,0.010599039552027218
1913,M,John,29329,0.05469348784040071
1913,M,George,13873,0.02587073397694702
1913,M,Paul,5966,0.011125553154073806
1914,M,John,37948,0.05553466086948886
1914,M,George,17603,0.025760952758659545
1914,M,Paul,7733,0.01131678962010534
1915,M,John,47577,0.05400659289765117
1915,M,George,22308,0.02532272052379936
1915,M,Paul,10328,0.011723733977487888
1916,M,John,50046,0.054205866615832196
1916,M,George,23379,0.02532228261222757
1916,M,Paul,10791,0.011687957212393503
1917,M,John,51853,0.054051208602661646
1917,M,George,24197,0.02522278546195213
1917,M,Paul,11153,0.011625810069725673
1918,M,John,56557,0.05393114641233006
1918,M,George,26320,0.02509800331652187
1918,M,Paul,11756,0.011210187195631879
1919,M,John,53530,0.05272130785875456
1919,M,George,25173,0.02479270470256732
1919,M,Paul,11307,0.011136182102726282
1920,M,John,56914,0.0516991576654443
1920,M,George,26890,0.024426157880728768
1920,M,Paul,12570,0.011418252307949447
1921,M,John,58225,0.051167695586264474
