region,value
alabama,38.4
alaska,33.4
arizona,36.8
arkansas,37.7
california,35.8
colorado,36.3
connecticut,40.4
delaware,39.3
district of columbia,33.7
florida,41.4
georgia,35.9
hawaii,38
idaho,35.5
illinois,37.3
indiana,37.3
iowa,38.1
kansas,36
kentucky,38.5
louisiana,36.1
maine,43.8
maryland,38.2
massachusetts,39.3
michigan,39.5
minnesota,37.7
mississippi,36.5
missouri,38.2
montana,39.7
nebraska,36.2
nevada,37.2
new hampshire,42.2
new jersey,39.4
new mexico,37
new york,38.1
north carolina,38
north dakota,35.4
ohio,39.2
oklahoma,36.2
oregon,39.1
pennsylvania,40.5
rhode island,39.7
south carolina,38.6
south dakota,36.8
tennessee,38.4
texas,34.1
utah,30.1
vermont,42.4
virginia,37.6
washington,37.4
west virginia,41.8
wisconsin,39
wyoming,36.8
